Stock #,Availability,Shape,Weight,Clarity,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Price,Total Price,Discount Percent,Image Link,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Video Link,Cut Grade,Polish,Symmetry,Depth Percent,Table Percent,Fluorescence Intensity,Fluorescence Color,Lab,Certificate #,Certificate Url,Cert Comment,Culet Condition,Culet Size,Girdle Percent,Girdle Condition,Girdle Thick,Girdle Thin,Measurements,Measurements Depth,Measurements Length,Measurements Width,Milky,Pavilion Depth,BGM,Crown Height,Crown Angle,Pavilion Angle,Laser Inscription,Member Comments,Pair,H&A,City,State,Country,Stock Number for Matching Pair,Share Access,Eye Clean,Featured,Table Open,Crown Open,Girdle Open,Star Length,Type,Tinge,Luster,Black Inclusion,Location of Black,Table Inclusion,Key To Symbol,Surface Graining,Internal Graining,Inclusion Pattern,Diamond Origin Report,Short Title,Arrival Date,Growth Type
,Yes,Radiant,"3,16",VVS1,E,,,,"1675,00","5293,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLA08C-3,-,EX,EX,"67,60","59,00",,,GIA,2446305779,,,,,,,,,,10.62,07.02,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,15",VS2,H,,,,"810,00","2551,50",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAB20A-6,-,EX,EX,"66,30","59,50",,,IGI,539218699,,,,,,,,,,10.34,7.16,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,15",VS2,G,,,,"922,50","2905,88",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LAC09D-7,-,EX,EX,"66,10","64,50",,,IGI,549200304,,,,,,,,,,10.36,7.13,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,15",VS1,E,,,,"1400,00","4410,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLA07C-3,-,EX,EX,"66,10","66,00",,,GIA,7436752667,,,,,,,,,,10.33,7.17,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,15",VVS2,E,,,,"1525,00","4803,75",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK25N-3,-,EX,EX,"67,20","62,00",,,GIA,6441863653,,,,,,,,,,10.3,07.09,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,15",VVS2,D,,,,"1675,00","5276,25",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK25I-10,-,EX,EX,"66,80","60,00",,,GIA,6445879543,,,,,,,,,,10.34,7.13,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,14",VS2,H,,,,"900,00","2826,00",,,,,,,,https://03368bc.netsolhost.com/videos/vision360.html?d=LBA69A-7,,EX,EX,"69,00","64,00",,,GIA,7436355267,,,,,,,,,,10.06,7.16,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,14",VVS2,E,,,,"1525,00","4788,50",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLA07C-7,-,EX,EX,"66,40","62,00",,,GIA,7438835075,,,,,,,,,,10.28,7.14,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,14",VS1,H,,,,"900,00","2826,00",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK27K-4,-,EX,EX,"39,40","60,50",,,IGI,550268520,,,,,,,,,,10.6,07.06,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Radiant,"3,14",VVS2,E,,,,"1525,00","4788,50",,,,,,,,https://mediassests.s3.amazonaws.com/V360/Vision360.html?d=LLK25C-10,-,EX,EX,"65,00","64,00",,,GIA,2447631840,,,,,,,,,,10.4,7.19,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
